O*NET-SOC Code,Title,original,text,text_weight_share,text_delta,combined,combined_weight_share,combined_delta,soc6
25-1063.00,"Economics Teachers, Postsecondary",0.6901,0.6901,0.0,0.0,0.6901,0.0,0.0,25-1063
19-3041.00,Sociologists,0.6901,0.6901,0.0,0.0,0.6901,0.0,0.0,19-3041
11-2021.00,Marketing Managers,0.6899,0.6899,0.0,0.0,0.6899,0.0,0.0,11-2021
17-2072.00,"Electronics Engineers, Except Computer",0.6886,0.5885,0.1378081752389928,-0.10009999999999997,0.5885,0.1378081752389928,-0.10009999999999997,17-2072
25-1112.00,"Law Teachers, Postsecondary",0.6884,0.6884,0.0,0.0,0.6884,0.0,0.0,25-1112
27-3031.00,Public Relations Specialists,0.6882,0.6882,0.0,0.0,0.6882,0.0,0.0,27-3031
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6882,0.6768,0.052849975649835734,-0.011400000000000077,0.6768,0.052849975649835734,-0.011400000000000077,41-4012
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",0.6882,0.6882,0.0,0.0,0.6882,0.0,0.0,25-1124
19-3051.00,Urban and Regional Planners,0.6879,0.6879,0.0,0.0,0.6879,0.0,0.0,19-3051
25-1122.00,"Communications Teachers, Postsecondary",0.6879,0.6879,0.0,0.0,0.6879,0.0,0.0,25-1122
25-1081.00,"Education Teachers, Postsecondary",0.6877,0.6877,0.0,0.0,0.6877,0.0,0.0,25-1081
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.6876,0.6876,0.0,0.0,0.6876,0.0,0.0,25-1111
25-1065.00,"Political Science Teachers, Postsecondary",0.6865,0.6865,0.0,0.0,0.6865,0.0,0.0,25-1065
11-3031.00,Financial Managers,0.6863,0.6863,0.0,0.0,0.6863,0.0,0.0,11-3031
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.6855,0.6375,0.056476273309767566,-0.04800000000000004,0.6375,0.056476273309767566,-0.04800000000000004,13-1021
25-1022.00,"Mathematical Science Teachers, Postsecondary",0.6848,0.6848,0.0,0.0,0.6848,0.0,0.0,25-1022
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",0.6847,0.6847,0.0,0.0,0.6847,0.0,0.0,25-1193
17-2199.07,Photonics Engineers,0.6842,0.662,0.03452700418795786,-0.022199999999999998,0.6546,0.0714146022941244,-0.02960000000000007,17-2199
41-9022.00,Real Estate Sales Agents,0.6832,0.6832,0.0,0.0,0.6832,0.0,0.0,41-9022
11-9199.10,Wind Energy Development Managers,0.6831,0.6831,0.0,0.0,0.6831,0.0,0.0,11-9199
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",0.6828,0.6828,0.0,0.0,0.6828,0.0,0.0,25-1192
15-1299.06,Digital Forensics Analysts,0.6825,0.6825,0.0,0.0,0.6825,0.0,0.0,15-1299
11-2011.00,Advertising and Promotions Managers,0.6819,0.6746,0.02920620241414754,-0.007299999999999973,0.6746,0.02920620241414754,-0.007299999999999973,11-2011
13-1131.00,Fundraisers,0.6816,0.6816,0.0,0.0,0.6816,0.0,0.0,13-1131
25-1032.00,"Engineering Teachers, Postsecondary",0.681,0.681,0.0,0.0,0.681,0.0,0.0,25-1032
