O*NET-SOC Code,Title,exposure,n_tasks,share_high,share_low,wshare_ANLY,wshare_CARE,wshare_CRTV,wshare_INFO,wshare_MACH,wshare_MGMT,wshare_PHYS,wshare_SOCL,wshare_TECH,exposure_pctile
47-2031.00,Carpenters,0.2168,29,0.1383,0.8347,0.0407,0.0,0.0,0.1246,0.0,0.026,0.8088,0.0,0.0,0.143
51-7031.00,"Model Makers, Wood",0.2148,14,0.1482,0.783,0.0689,0.0,0.0,0.1482,0.0817,0.0,0.7012,0.0,0.0,0.142
47-5041.00,Continuous Mining Machine Operators,0.2137,15,0.0679,0.8292,0.0679,0.0,0.0,0.0735,0.2748,0.0627,0.5211,0.0,0.0,0.141
51-4194.00,"Tool Grinders, Filers, and Sharpeners",0.2114,18,0.0672,0.7054,0.1494,0.0,0.0,0.0672,0.1423,0.0,0.6411,0.0,0.0,0.14
45-4021.00,Fallers,0.211,18,0.1299,0.7411,0.1299,0.0,0.0,0.0,0.2335,0.0,0.6365,0.0,0.0,0.139
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.2093,29,0.0468,0.7436,0.0572,0.0,0.0,0.0738,0.2119,0.0,0.6571,0.0,0.0,0.138
53-7031.00,Dredge Operators,0.2072,6,0.0,0.7279,0.1315,0.0,0.0,0.0,0.8685,0.0,0.0,0.0,0.0,0.137
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.2049,33,0.1049,0.8121,0.0292,0.0,0.0,0.0758,0.1996,0.0,0.6955,0.0,0.0,0.135
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",0.2048,25,0.0831,0.8106,0.0,0.0,0.0,0.1266,0.301,0.0276,0.5448,0.0,0.0,0.134
53-7064.00,"Packers and Packagers, Hand",0.2039,12,0.0945,0.7869,0.0,0.0,0.0,0.2131,0.0,0.0,0.7869,0.0,0.0,0.133
51-7011.00,Cabinetmakers and Bench Carpenters,0.2037,20,0.1263,0.8408,0.033,0.0,0.0195,0.058,0.0674,0.0,0.7734,0.0329,0.0158,0.132
